from_pt,to_pt,from_name,to_name,forward_azimuth_deg,back_azimuth_deg,bearing,distance_m,distance_us_survey_ft
0,1,Point 0,Point 1,-179.91563615829668,0.08435297936904362,"South 00° 05' 3.71"" West",1270.9452803788513,4169.759640726294
1,2,Point 1,Point 2,-71.53029414636491,108.46714269311511,"North 71° 31' 49.06"" West",465.62101646719697,1527.6249515322393
2,3,Point 2,Point 3,3.0987988634849795,-176.90100562291354,"North 03° 05' 55.68"" East",623.0745941191724,2044.203897547495
3,4,Point 3,Point 4,22.685491467118297,-157.31330813353915,"North 22° 41' 7.77"" East",536.103288936782,1758.865540460461
4,0,Point 4,Point 0,88.12214284841124,-91.87667840706575,"North 88° 07' 19.71"" East",203.12693882273626,666.4256317902596
